书籍名,作者,评分,价格
书籍名,作者,评分,价格
书籍名,作者,评分,价格
书籍名,作者,评分,价格
书籍名,作者,评分,价格
书籍名,作者,评分,价格
书籍名,作者,评分,价格
书籍名,作者,评分,价格
书籍名,作者,评分,价格
书籍名,作者,出版时间,出版社,原价,现价,评分
弗朗西斯·培根：肖像习作,[英] 迈克尔·佩皮亚特,2022-8,湖南美术出版社,78.00元,58.50,8.9
无罪者,[奥] 赫尔曼·布洛赫,2022-8,北京联合出版公司,68.00,67.30,8.5
失明症漫记,[葡] 若泽·萨拉马戈,2022-8-8,河南文艺出版社,66,33.00,9.3
尘埃博物馆,刘立杆,2022-8,北京联合出版公司,52.00,51.80,8.6
鬼魂目击者、侦探与唯灵论者：维多利亚文学和科学中的视觉理论,[美]斯尔詹·斯马伊奇（Srdjan Smajic）,2022-9,译林出版社,69.00元,51.80,8.1
您可疑的近况,(韩) 金劲旭,2022-8,南海出版公司,49,48.80,8.0
始于极限：女性主义往复书简,[日] 上野千鹤子,[日] 铃木凉美,2022-9-20,新星出版社,58.80,9.4
桑塔格传：人生与作品,[美国]本杰明·莫泽,2022-10,译林出版社,158.00,98.80,5.8
写作全指南：从读者到作家,[美] 乔·雷·麦奎恩-麦修利尔,[美] 安东尼·C.温克勒,2022-8,四川人民出版社,62.20,7.5
“废除文科学部”的冲击,[日] 吉见俊哉,2022-8-1,上海译文出版社,38.00,29.90,8.2
贪婪已死：个人主义之后的政治,[英]保罗·科利尔,[英]约翰·凯,2022-8,上海三联书店,54.00,8.0
给青年人的哲学十二讲：尤里卡文库 II,[德]卡尔·雅斯贝尔斯,2022-9,湖南人民出版社,49,24.50,9.1
书店不屈宣言,[日]田口久美子,2022-8,广西师范大学出版社,59.00,47.20,8.4
缄默,[德] 芭芭拉·耶林,2022-8,湖南美术出版社,80.00元,56.50,9.2
光幻中的论语：十七年电影的导演逻辑,徐皓峰,2022-8,光明日报出版社,58.00元,34.80,8.6
梦旅店,帕蒂·史密斯,2022-9,广西师范大学出版社,68.00元,51.00,8.1
静默之身：残障人士的不平凡世界,罗伯特·墨菲,2022-8,上海教育出版社,54.8,43.40,9.4
城塚翡翠倒叙集,相泽沙呼,2022-9,人民文学出版社,89.00元,44.50,7.6
流行音乐与资本主义：修订版,[日]毛利嘉孝,2022-8,上海社会科学院出版社,58.00元,46.40,8.2
